Code,GeoFips,GeoName,TimePeriod,Description,CL_UNIT,UNIT_MULT,DataValue,NoteRef,PI
SAINC1-3,01000,Alabama,1929,Per capita personal income (dollars),Dollars,0,319,,319.0
SAINC1-2,01000,Alabama,1929,Population (persons),Number of persons,0,"2,644,000",,2644000.0
SAINC1-3,02000,Alaska *,1929,Per capita personal income (dollars),Dollars,0,(NA),(NA),
SAINC1-2,02000,Alaska *,1929,Population (persons),Number of persons,0,(NA),(NA),
SAINC1-3,04000,Arizona,1929,Per capita personal income (dollars),Dollars,0,598,,598.0
SAINC1-2,04000,Arizona,1929,Population (persons),Number of persons,0,"430,000",,430000.0
SAINC1-3,05000,Arkansas,1929,Per capita personal income (dollars),Dollars,0,303,,303.0
SAINC1-2,05000,Arkansas,1929,Population (persons),Number of persons,0,"1,852,000",,1852000.0
SAINC1-3,06000,California,1929,Per capita personal income (dollars),Dollars,0,994,,994.0
SAINC1-2,06000,California,1929,Population (persons),Number of persons,0,"5,531,000",,5531000.0
SAINC1-3,08000,Colorado,1929,Per capita personal income (dollars),Dollars,0,631,,631.0
SAINC1-2,08000,Colorado,1929,Population (persons),Number of persons,0,"1,008,000",,1008000.0
SAINC1-3,09000,Connecticut,1929,Per capita personal income (dollars),Dollars,0,"1,029",,1029.0
SAINC1-2,09000,Connecticut,1929,Population (persons),Number of persons,0,"1,594,000",,1594000.0
SAINC1-3,10000,Delaware,1929,Per capita personal income (dollars),Dollars,0,"1,031",,1031.0
SAINC1-2,10000,Delaware,1929,Population (persons),Number of persons,0,"236,000",,236000.0
SAINC1-3,11000,District of Columbia,1929,Per capita personal income (dollars),Dollars,0,"1,324",,1324.0
SAINC1-2,11000,District of Columbia,1929,Population (persons),Number of persons,0,"483,000",,483000.0
SAINC1-3,12000,Florida,1929,Per capita personal income (dollars),Dollars,0,519,,519.0
SAINC1-2,12000,Florida,1929,Population (persons),Number of persons,0,"1,445,000",,1445000.0
SAINC1-3,13000,Georgia,1929,Per capita personal income (dollars),Dollars,0,343,,343.0
SAINC1-2,13000,Georgia,1929,Population (persons),Number of persons,0,"2,903,000",,2903000.0
SAINC1-3,15000,Hawaii *,1929,Per capita personal income (dollars),Dollars,0,(NA),(NA),
SAINC1-2,15000,Hawaii *,1929,Population (persons),Number of persons,0,(NA),(NA),
SAINC1-3,16000,Idaho,1929,Per capita personal income (dollars),Dollars,0,499,,499.0
SAINC1-2,16000,Idaho,1929,Population (persons),Number of persons,0,"447,000",,447000.0
SAINC1-3,17000,Illinois,1929,Per capita personal income (dollars),Dollars,0,951,,951.0
SAINC1-2,17000,Illinois,1929,Population (persons),Number of persons,0,"7,606,000",,7606000.0
SAINC1-3,18000,Indiana,1929,Per capita personal income (dollars),Dollars,0,605,,605.0
SAINC1-2,18000,Indiana,1929,Population (persons),Number of persons,0,"3,226,000",,3226000.0
SAINC1-3,19000,Iowa,1929,Per capita personal income (dollars),Dollars,0,571,,571.0
SAINC1-2,19000,Iowa,1929,Population (persons),Number of persons,0,"2,460,000",,2460000.0
SAINC1-3,20000,Kansas,1929,Per capita personal income (dollars),Dollars,0,526,,526.0
SAINC1-2,20000,Kansas,1929,Population (persons),Number of persons,0,"1,867,000",,1867000.0
SAINC1-3,21000,Kentucky,1929,Per capita personal income (dollars),Dollars,0,388,,388.0
SAINC1-2,21000,Kentucky,1929,Population (persons),Number of persons,0,"2,606,000",,2606000.0
SAINC1-3,22000,Louisiana,1929,Per capita personal income (dollars),Dollars,0,409,,409.0
SAINC1-2,22000,Louisiana,1929,Population (persons),Number of persons,0,"2,086,000",,2086000.0
SAINC1-3,23000,Maine,1929,Per capita personal income (dollars),Dollars,0,600,,600.0
SAINC1-2,23000,Maine,1929,Population (persons),Number of persons,0,"797,000",,797000.0
SAINC1-3,24000,Maryland,1929,Per capita personal income (dollars),Dollars,0,775,,775.0
SAINC1-2,24000,Maryland,1929,Population (persons),Number of persons,0,"1,621,000",,1621000.0
SAINC1-3,25000,Massachusetts,1929,Per capita personal income (dollars),Dollars,0,911,,911.0
SAINC1-2,25000,Massachusetts,1929,Population (persons),Number of persons,0,"4,229,000",,4229000.0
SAINC1-3,26000,Michigan,1929,Per capita personal income (dollars),Dollars,0,792,,792.0
